Year,Depth
1976,6.2
1976,6.8
1976,7.1
1976,7.1
1976,7.4
1976,7.8
1976,7.9
1976,8.0
1976,8.2
1976,8.4
1976,8.4
1976,8.4
1976,8.5
1976,8.5
1976,8.5
1976,8.5
1976,8.6
1976,8.7
1976,8.7
1976,8.7
1976,8.9
1976,8.9
1976,8.9
1976,8.9
1976,8.9
1976,9.0
1976,9.0
1976,9.0
1976,9.0
1976,9.0
1976,9.1
1976,9.1
1976,9.1
1976,9.1
1976,9.1
1976,9.2
1976,9.3
1976,9.4
1976,9.4
1976,9.4
1976,9.5
1976,9.5
1976,9.6
1976,9.7
1976,9.7
1976,9.7
1976,9.7
1976,9.8
1976,9.8
1976,9.8
1976,9.8
1976,9.8
1976,9.9
1976,9.9
1976,9.9
1976,9.9
1976,9.9
1976,10.0
1976,10.0
1976,10.0
1976,10.1
1976,10.1
1976,10.1
1976,10.1
1976,10.1
1976,10.1
1976,10.2
1976,10.2
1976,10.3
1976,10.3
1976,10.3
1976,10.4
1976,10.4
1976,10.4
1976,10.4
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.6
1976,10.6
1976,10.6
1976,10.7
1976,10.8
1976,11.0
1976,11.4
1976,11.4
1976,11.7
1978,7.1
1978,7.9
1978,8.0
1978,8.4
1978,8.4
1978,8.7
1978,8.7
1978,8.8
1978,9.0
1978,9.0
1978,9.1
1978,9.1
1978,9.1
1978,9.2
1978,9.3
1978,9.3
1978,9.4
1978,9.4
1978,9.5
1978,9.6
1978,9.6
1978,9.6
1978,9.6
1978,9.6
1978,9.6
1978,9.7
1978,9.7
1978,9.7
1978,9.7
1978,9.8
1978,9.9
1978,9.9
1978,9.9
1978,9.9
1978,10.0
1978,10.0
1978,10.0
1978,10.2
1978,10.2
1978,10.2
1978,10.2
1978,10.2
1978,10.3
1978,10.3
1978,10.3
1978,10.3
1978,10.3
1978,10.3
1978,10.4
1978,10.4
1978,10.4
1978,10.4
1978,10.5
1978,10.5
1978,10.5
1978,10.5
1978,10.5
1978,10.5
1978,10.6
1978,10.6
1978,10.6
1978,10.6
1978,10.6
1978,10.7
1978,10.7
1978,10.7
1978,10.7
1978,10.7
1978,10.8
1978,10.9
1978,10.9
1978,10.9
1978,11.0
1978,11.0
1978,11.0
1978,11.0
1978,11.1
1978,11.1
1978,11.1
1978,11.1
1978,11.3
1978,11.4
1978,11.4
1978,11.4
1978,11.4
1978,11.5
1978,11.6
1978,11.6
1978,11.7
